-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2025 in LST
Location: latitude  8.5308   longitude 76.9296 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,PS,WS10M,T2M_MAX,T2M_MIN
2014,1,1,5.9695,0.0,74.63,100.13,4.89,30.07,21.39
2014,1,2,5.5841,0.0,70.65,100.21,3.71,29.87,20.88
2014,1,3,5.28,0.0,70.14,100.25,3.41,30.24,22.09
2014,1,4,5.2123,0.0,69.87,100.14,3.2,30.18,23.04
2014,1,5,5.8056,0.0,70.52,100.06,2.68,29.35,21.84
2014,1,6,5.5769,0.04,72.13,100.01,2.03,29.7,23.83
2014,1,7,5.0414,6.19,78.06,100.04,3.04,26.96,22.98
2014,1,8,1.6721,5.79,81.19,100.1,5.17,29.9,22.85
2014,1,9,3.9866,3.24,78.94,100.12,4.35,30.0,23.27
2014,1,10,5.4305,0.01,70.9,100.13,3.48,30.22,22.68
2014,1,11,5.9136,0.05,70.47,100.21,3.26,30.54,21.82
2014,1,12,5.9306,0.0,70.4,100.29,2.4,31.29,22.11
2014,1,13,5.611,0.0,72.88,100.28,3.93,28.87,22.76
2014,1,14,5.8973,0.58,75.06,100.18,3.38,30.71,23.27
2014,1,15,4.2101,0.51,72.66,100.26,2.99,31.06,23.13
2014,1,16,5.7305,0.07,70.87,100.31,3.44,31.52,23.86
2014,1,17,5.2649,5.85,71.11,100.27,3.06,30.77,23.42
2014,1,18,5.5075,0.92,68.35,100.25,3.96,31.53,22.65
2014,1,19,5.8262,0.02,70.13,100.38,3.88,31.0,22.36
2014,1,20,5.9554,0.01,67.35,100.42,4.97,31.69,23.12
2014,1,21,6.0226,0.01,65.92,100.32,4.38,31.79,22.18
2014,1,22,6.2712,0.0,69.51,100.26,4.46,31.56,22.68
2014,1,23,6.2446,0.0,66.25,100.27,3.38,31.68,22.74
2014,1,24,6.2342,13.44,73.31,100.17,3.31,30.54,23.13
